year,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,len_panic
2021-after-edition2021,egui,10c8ffa5,Alg,Behavior,5,5,0,0,safe,safe,-1
2021-after-edition2021,egui,461f380a,Alg,Behavior,14,22,1,1,safe,safe,-1
2021-after-edition2021,egui,5fee6b7b,Alg,Behavior,110,26,0,0,safe,safe,-1
2021-after-edition2021,egui,951ee4e1,Alg,Behavior,145,52,0,0,safe,safe,-1
2021-after-edition2021,egui,c69fe941,Mac,Behavior,3,0,1,0,safe,safe,-1
2021-after-edition2021,egui,ddd5f6f4,Alg,Behavior,14,49,1,1,safe,safe,-1
2021-after-edition2021,meilisearch,287fa7ca,Ver,Compile,16,16,0,0,safe,safe,-1
2021-after-edition2021,meilisearch,5af51c85,Alg,Behavior,418,204,0,1,safe,safe,-1
2021-after-edition2021,meilisearch,845d3114,Doc,Behavior,28,4,0,1,safe,safe,-1
2021-after-edition2021,meilisearch,c9f37264,Alg,Behavior,3,0,0,1,safe,safe,-1
2021-after-edition2021,meilisearch,cbb8805,Bound,Panic,19,10,0,0,safe,safe,-1
2021-after-edition2021,meilisearch,d905bbf9,Alg,Crash,1,0,0,0,safe,safe,-1
2021-after-edition2021,rust,9aade508,Mem,Crash,6,4,0,0,safe,unsafe,-1
2021-after-edition2021,rust,a090c865,Alg,Performance,46,34,0,0,unsafe,safe,-1
2021-after-edition2021,rust,f62984fc,Doc,Behavior,7,4,1,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,0eb6039e,Alg,Behavior,15,2,0,1,safe,safe,-1
2021-after-edition2021,rust-analyzer,142b6dc6,Alg,Panic,36,18,0,1,safe,safe,1
2021-after-edition2021,rust-analyzer,25074423,Alg,Behavior,94,17,0,1,safe,safe,-1
2021-after-edition2021,rust-analyzer,4ca6233b,Alg,Behavior,118,53,0,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,6434ada1,Alg,Behavior,57,61,0,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,7765c1a9,Alg,Behavior,44,5,0,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,8a084e6a,Alg,Behavior,372,283,0,1,safe,safe,-1
2021-after-edition2021,rust-analyzer,9f1e26c3,Alg,Behavior,0,118,0,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,c5c11b87,Alg,Behavior,50,9,0,0,safe,safe,-1
2021-after-edition2021,rust-analyzer,c9c6fa8f,Alg,Behavior,67,1,0,1,safe,safe,-1
2021-after-edition2021,snarkOS,ca4ac9b5,Alg,Behavior,4,0,0,1,safe,safe,-1
2021-after-edition2021,snarkOS,issue-1251,Mem,Crash,12,2,0,0,safe,safe,-1
2021-after-edition2021,snarkOS,issue-1375,Mac,Panic,11,8,0,0,safe,safe,0
2021-after-edition2021,tikv,0390c764,Ver,Panic,86,3,0,0,safe,safe,-1
2021-after-edition2021,tikv,1a5efb86,Conc,Behavior,46,21,0,1,safe,safe,-1
2021-after-edition2021,tikv,1e9f0b3a,Conc,Performance,144,284,0,1,safe,safe,-1
2021-after-edition2021,tikv,23af18d9,Alg,Panic,40,32,0,1,safe,safe,1
2021-after-edition2021,tikv,26e099c9,Unwrap,Panic,7,1,0,1,safe,safe,-1
2021-after-edition2021,tikv,29299bf1,Alg,Panic,3,1,0,0,safe,safe,3
2021-after-edition2021,tikv,2c742a1b,Alg,Performance,34,14,0,0,safe,safe,-1
2021-after-edition2021,tikv,36a32504,Alg,Panic,8,5,0,2,safe,safe,3
2021-after-edition2021,tikv,3b68ccd1,Alg,Panic,10,4,0,0,safe,safe,-1
2021-after-edition2021,tikv,3fe6ec21,Alg,Behavior,0,1,0,0,safe,safe,-1
